Title,Address,Website,Phone,City
Sunset Grill,"10 Manitou Dr, ON N2C 2N3",sunsetgrill.ca,519-894-0000,Kitchener
Pho Ben Thanh Restaurant,"36 Northfield Dr E Unit 1, ON N2L 6A1",benthanhwaterloo.ca,519-880-9788,Waterloo
Pho Ben Thanh Restaurant,"36 Northfield Dr E Unit 1, ON N2L 6A1",benthanhwaterloo.ca,519-880-9788,Waterloo
Chuck's Roadhouse Bar & Grill,"509 Wilson Ave #1, ON N2P 2J4",chucksroadhouse.com,519-895-2525,Kitchener
Ye's Sushi Waterloo,"583 King St N, ON N2V 2E5",yes-restaurants.com,519-888-6066,Waterloo
The Olde Heidelberg Restaurant Tavern & Motel,"3006 Lobsinger Line, ON N0B 2M1",oldhh.com,519-699-4413,Heidelberg
The New Dundee Emporium Restaurant & Fashion Boutique,"169 Front St, ON N0B 2E0",thenewdundeeemporium.com,519-696-2059,New Dundee
Sunrise Grill,"1400 Ottawa St S, ON N2E 4E2",sunsetgrill.ca,dd place's phone number,Kitchener
Sunrise Grill,"1400 Ottawa St S, ON N2E 4E2",sunsetgrill.ca,dd place's phone number,Kitchener
Seoul Soul,"170 University Ave W, ON N2L 3E9",selflane.com,519-884-6053,Waterloo
Vincenzo's,"150 Caroline St S, ON N2L 0A5",vincenzosonline.com,519-741-1437,Waterloo
Qdoba Mexican Eats Kitchener,"10 Manitou Dr, ON N2C 2N3",locations.qdoba.com,519-895-2200,Kitchener
Morty's Pub & Patio,"272 King St N, ON N2J 2Y9",mortys.com,519-886-0440,Waterloo
Morty's Pub & Patio,"272 King St N, ON N2J 2Y9",mortys.com,519-886-0440,Waterloo
Freshii,"10 Manitou Dr, ON N2C 2N3",freshii.com,226-646-0317,Kitchener
Rock Paper Scissors,"181 Lester St, ON N2L 3W3",business.site,519-888-1888,Waterloo
Rock Paper Scissors,"181 Lester St, ON N2L 3W3",business.site,519-888-1888,Waterloo
City Pizza,"1400 Weber St E, ON N2A 3Z8",thecitypizza.ca,519-895-2828,Kitchener
Ms Salty cake boutique,"150 University Ave W, ON N2L 6J3",mssalty.com,dd place's phone number,Waterloo
Pilaf Restaurant,"280 Lester St Unit 116, ON N2L 3W5",pilafrestaurant.ca,519-208-2172,Waterloo
Obie's Bar and Grille,"209 Pinebush Rd #6a, ON N1R 7H8",obiesbarandgrille.com,519-624-6243,Cambridge
Obie's Bar and Grille,"209 Pinebush Rd #6a, ON N1R 7H8",obiesbarandgrille.com,519-624-6243,Cambridge
Wild Wing,"610 Laurelwood Dr #400, ON N2V 0A2",wildwingrestaurants.com,519-888-9453,Waterloo
Harvey's,"235 Ira Needles Blvd Unit 1, ON N2N 2K7",harveys.ca,519-568-8008,Kitchener
Pizza Hut Waterloo,"133 Weber St N, ON N2J 3G9",pizzahut.ca,519-746-7401,Waterloo
Blackshop Restaurant,"595 Hespeler Rd, ON N1R 6J3",blackshop.ca,519-621-4180,Cambridge
Beertown Public House Cambridge,"561 Hespeler Rd #1A, ON N1R 6J4",beertown.ca,519-629-0288,Cambridge
Grill Inn,"25 Frederick St, ON N2H 6M8",Add website,519-745-3331,Kitchener
Helley's Kitchen,"100 Park St, ON N2G 1M6",facebook.com,226-336-8606,Kitchener
Dakshin,"600 Hespeler Rd #5, ON N1R 6J8",dakshin.ca,519-267-9269,Cambridge
Bombay Cuisine,"4336 King St E, ON N2P 3W6",bombaycuisine.ca,519-219-7700,Kitchener
遇见 · 美食 新派网红餐厅 Mizu Restaurant,"150 University Ave W #8B, ON N2L 6J3",mizurestaurantwaterloo.com,519-208-8111,Waterloo
Thirteen Food & Beverage,"13 Main St, ON N1R 7G9",local13.ca,519-622-1799,Cambridge
Burger King,"150 University Ave W Unit 1a, ON N2L 3E4",burgerking.ca,519-884-4426,Waterloo
Saffron Indian Cuisine,"605 Hespeler Rd, ON N1R 6J3",saffroncambridge.ca,519-267-8188,Cambridge
Latinoamerica Unida,"18 Concession St #101, ON N1R 2G6",facebook.com,519-267-3634,Cambridge
The Market Grill,"878 Weber St N, ON N2J 4A9",marketgrill.ca,4) 424-9333,Waterloo
The Market Grill,"878 Weber St N, ON N2J 4A9",marketgrill.ca,4) 424-9333,Waterloo
Swiss Chalet,"525 Highland Rd W Unit 1, ON N2M 1T1",swisschalet.com,519-578-7030,Kitchener
白家老汤,"160 University Ave W, ON N2L 3E9",Add website,519-746-0057,Waterloo
The Keg Steakhouse + Bar - Cambridge,"44 Pinebush Rd, ON N1R 8K5",kegsteakhouse.com,519-624-7337,Cambridge
City Cafe Bakery - West Ave.,"175 West Ave, ON",citycafebakery.ca,dd place's phone number,Kitchener
McDonald's,"55 Northfield Dr E, ON N2L 4E6",mcdonalds.com,519-884-1356,Waterloo
Zoup!,"561 Hespeler Rd Unit 19, ON N1R 6J4",zoup.com,519-624-9687,Cambridge
Subway,"160 University Ave West Units 5 & 6, ON N2L 3E9",restaurants.subway.com,519-884-7821,Waterloo
Sunset Grill,"594 Hespeler Rd, ON N1R 8H2",sunsetgrill.ca,519-623-6789,Cambridge
Anna Mae's Bakery & Restaurant,"4060 Perth County Line 72, ON N0K 1L0",annamaes.ca,519-595-4407,Millbank
Earth to Table: Bread Bar,"105 Gordon St, ON N1H 4H7",breadbar.ca,519-767-2999,Guelph
The Wooly Pub,"176 Woolwich St, ON N1H 3V5",thewoolypub.ca,519-836-2875,Guelph
Firehouse Subs,"541 Hespeler Rd Unit #101, ON N1R 6J2",firehousesubs.ca,519-624-3473,Cambridge
Bombay Sizzler,"110 Main St, ON N1R 1V7",bombaysizzler.ca,519-740-9973,Cambridge
the Bruce Craft House,"700 Hespeler Rd, ON N3H 5L8",cambridgehotel.ca,519-622-5252,Cambridge
bloom. at Conestoga College,"108 University Ave E, ON N2J 2W2",bloomatconestoga.ca,519-885-0501,Waterloo
Osmow's Shawarma,"355 Hespeler Rd, ON N1R 6B3",mrosmow.com,519-620-0009,Cambridge
Montana's,"40 Pinebush Rd, ON N1R 8K5",montanas.ca,519-620-2411,Cambridge
Montana's,"40 Pinebush Rd, ON N1R 8K5",montanas.ca,519-620-2411,Cambridge
Osmow's Shawarma,"19 Wyndham St N, ON N1H 4E5",mrosmow.com,519-836-4747,Guelph
Osmow's Shawarma,"19 Wyndham St N, ON N1H 4E5",mrosmow.com,519-836-4747,Guelph
Boston Pizza,"14 Pinebush Rd, ON N1R 8K5",bostonpizza.com,519-620-9100,Cambridge
East Side Mario's Cambridge,"355 Hespeler Rd, ON N1R 6B3",eastsidemarios.com,519-622-1466,Cambridge
Popeyes® Louisana Kitchen,"85 University Ave, ON N2J 2W1",popeyeschicken.ca,519-888-7766,Waterloo
The Keg Steakhouse + Bar - Brantford,"61 Lynden Rd, ON N3R 7J9",kegsteakhouse.com,519-757-0024,Brantford
Montana's,"201 Stone Rd W, ON N1G 5L4",montanas.ca,519-766-1549,Guelph
Fionn MacCool's,"494 Edinburgh Rd S, ON N1G 4Z1",Add website,519-766-4242,Guelph
Shoeless Joe's Sports Grill,"5 Clair Rd W #5, ON N1L 0A6",shoelessjoes.ca,519-827-1212,Guelph
Naija Jollof Waterloo,"280 Lester St, ON N2L 3W5",Add website,519-885-1517,Waterloo
houseofpatties,"42 Bridgeport Rd E, ON N2J 0B3",houseofpatties.com,226-647-1727,Waterloo
The Prohibition Warehouse,"56 King St N, ON N2J 2X1",prohibitionwarehouse.com,519-208-6550,Waterloo
Freshii,"110 King St S Unit A, ON N2J 1P5",freshii.com,226-215-3148,Waterloo
Freshii,"110 King St S Unit A, ON N2J 1P5",freshii.com,226-215-3148,Waterloo
Thai Sun,"75 King St S Unit 61-62, ON N2V 1P2",thaisun.ca,519-747-9006,Waterloo
Janet Lynn's Bistro,"677 Belmont Ave W, ON N2M 1N8",janetlynnsbistro.com,519-725-3440,Kitchener
Café 22,"22 King St S, ON N2J 1N8",cafe22-winebar.com,519-603-5005,Waterloo
Score Pizza,"80 King St S, ON N2J 1P5",scorepizza.ca,519-208-5030,Waterloo
Kentucky Bourbon & BBQ,"103 King St N, ON N2J 2X5",kentuckywaterloo.com,519-954-8885,Waterloo
Shawerma Plus (Shawarma Plus),"160 University Ave W, ON N2L 3E9",shawermaplus.com,226-908-0536,Waterloo
271West Restaurant,"271 King St W, ON N2G 1B1",271west.com,519-954-8821,Kitchener
The WORKS Craft Burgers & Beer,"92 King St S, ON N2J 1P5",worksburger.com,519-885-6000,Waterloo
King Street Trio Uptown,"40 King St S, ON N2J 2W8",kingstreettrio.com,519-804-9989,Waterloo
Red House,"30 William St W, ON N2L 1J4",redhouseuptown.ca,226-647-4687,Waterloo
Craft Chippery,"94 King St S, ON N2J 1P5",craftchippery.com,226-240-2976,Waterloo
Mambella`s Italian Kitchen Inc.,"160 Columbia St W, ON N2L 3L3",mambellas.com,519-885-2244,Waterloo
Miga Waterloo Japanese and Korean Restaurant,"94 Bridgeport Rd E #19, ON N2J 2J9",Add website,519-998-9181,Waterloo
J & B Family Restaurant,"79 Victoria St N, ON N2H 5C1",jandbrestaurant.com,519-568-8361,Kitchener
Cora Breakfast and Lunch,"75 King St S, ON N2J 1P2",chezcora.com,519-886-8878,Waterloo
Casa Rugantino,"709 Belmont Ave W, ON N2M 1P1",casarugantino.ca,519-744-9081,Kitchener
Quick Sandwiches,"95 King St S, ON N2J 1P5",quicksandwiches.ca,519-888-8280,Waterloo
Ennio's Pasta House,"384 King St N, ON N2J 2Z3",enniospasta.ca,519-893-0543,Waterloo
Wooden Boat Food Company,"20 Hurst Ave Unit #1, ON N2G 2Z7",wbfood.ca,519-489-0123,Kitchener
Ming's Chinese Restaurant,"465 Phillip St, ON N2L 6C7",Add website,519-888-7460,Waterloo
Mei King Restaurant,"82 Margaret Ave, ON N2H 4H4",selflane.com,519-743-6431,Kitchener
King Tin Restaurant,"318 Spruce St, ON N2L 3M7",selflane.com,519-885-4716,Waterloo
Exclamation Waterloo,"63 Hickory St W, ON N2L 3H2",exclamationfusion.com,519-954-8866,Waterloo
Johnny Fresco,"244 Weber St N, ON N2J 3H4",johnnyfresco.com,519-772-1122,Waterloo
Meltwich Food Co. Waterloo,"255 King St N #2, ON N2J 4V2",meltwich.ca,519-208-3040,Waterloo
Galito's Waterloo (WLU),"255 King St N Unit #8, ON N2J 4V2",galitoschicken.com,226-647-3800,Waterloo
Bogda Restaurant,"62 Balsam St b103, ON N2L 3H2",bogda.ca,519-886-2929,Waterloo
The Checkerboard Restaurant,"705 Belmont Ave W, ON N2M 1P1",Add website,519-742-5771,Kitchener
The Cactus Mexican Restaurant,"465 Phillip St, ON N2L 6C7",Add website,519-888-9599,Waterloo
Cafe Pyrus,"305 King St W #101, ON N2G 1B7",cafepyrus.com,519-954-7705,Kitchener
Wilhelm's Cafe + Bar,"693 Belmont Ave W, ON N2M 1P1",wilhelmskw.com,519-275-1070,Kitchener
Thai Bistro,"735 Belmont Ave W, ON N2M 1P3",thaibistro.org,519-208-4177,Kitchener
Thai Bistro,"735 Belmont Ave W, ON N2M 1P3",thaibistro.org,519-208-4177,Kitchener
Kim's Kitchen,"258 King St N Unit #2, ON N2J 2Y9",kimskitchenrestaurant.com,519-888-8389,Waterloo
Kim's Kitchen,"258 King St N Unit #2, ON N2J 2Y9",kimskitchenrestaurant.com,519-888-8389,Waterloo
Kitchener Red Ginger Modern Thai+Viet Cuisine,"465 Highland Rd W, ON N2M 5C6",kwredginger.com,519-954-8088,Kitchener
Suki Sushi,"347 Erb St W #4, ON N2L 1W4",sukisushiwaterloo.com,519-746-1566,Waterloo
Kabob Shack,"150 University Ave W Unit 5B, ON N2L 3E4",kabobshack.ca,519-208-0404,Waterloo
Kinkaku Izakaya,"217 King St W, ON N2G 1B1",kinkakuizakaya.ca,519-208-2688,Kitchener
Golden Fish & Chips,"94 Bridgeport Rd E, ON N2J 2J9",Add website,519-888-6660,Waterloo
Golf's Steak House & Seafood,"598 Lancaster St W, ON N2K 1M3",golfssteakhouse.com,519-579-4050,Kitchener
Golf's Steak House & Seafood,"598 Lancaster St W, ON N2K 1M3",golfssteakhouse.com,519-579-4050,Kitchener
Two Goblets Restaurant,"22 Ontario St N, ON N2H 4Y4",twogoblets.com,519-749-1829,Kitchener
TWH Social,"1 King St W, ON N2G 1A3",twhsocial.com,519-745-8478,Kitchener
Exclamation Waterloo,"63 Hickory St W, ON N2L 3H2",exclamationfusion.com,519-954-8866,Waterloo
Harvey's,"170 University Ave W Unit 10, ON N2L 3E9",harveys.ca,519-888-9744,Waterloo
Taste of Taiwan Home Garden,"160 University Ave W, ON N2L 3E9",m.facebook.com,519-886-3999,Waterloo
Philthy Philly's Cheesesteak and Poutinerie,"247 King St N, ON N2J 2Y8",philthyphillys.com,226-647-2041,Waterloo
Philthy Philly's Cheesesteak and Poutinerie,"247 King St N, ON N2J 2Y8",philthyphillys.com,226-647-2041,Waterloo
Molly Bloom's Irish Pub,"170 University Ave W, ON N2L 3E9",mollyblooms.ca,519-885-0892,Waterloo
Swine and Vine,"295 Lancaster St W, ON N2H 6H6",swineandvine.ca,226-476-4418,Kitchener
Waterloo Red Ginger Modern Thai + Viet Cuisine,"646 Erb St W, ON N2T 0A8",kwredginger.com,519-880-8686,Waterloo
Mimo Thai Kitchen,"104-318 Spruce St, ON N2L 3M7",mimo-thaikitchen.com,226-647-8866,Waterloo
Cameron Chinese Restaurant,"19 Cameron St S, ON N2G 3N1",cameronrestaurant.ca,519-576-3030,Kitchener
Northern Thai,"95 Queen St S, ON N2G 1W1",northernthai.ca,519-745-4451,Kitchener
Bridge Street Kitchen,"373 Bridge St W, ON N2K 3K3",facebook.com,519-886-3080,Waterloo
Figaro's Pizza,"90 Weber St N, ON N2J 3G8",figaropizza.ca,519-725-2002,Waterloo
Pupuseria Latinos,"25 Eby St S, ON N2G 3K6",m.facebook.com,519-743-7985,Kitchener
King Tin Restaurant,"318 Spruce St, ON N2L 3M7",selflane.com,519-885-4716,Waterloo
East Side Mario's Waterloo (King),"450 King St N, ON N2J 2Z6",eastsidemarios.com,519-886-8388,Waterloo
Smoke's Poutinerie Waterloo,"255 King St N #15, ON N2J 4V2",smokespoutinerie.com,519-888-7665,Waterloo
Smoke's Poutinerie Waterloo,"255 King St N #15, ON N2J 4V2",smokespoutinerie.com,519-888-7665,Waterloo
iShawarma,"66 Bridgeport Rd E, ON N2J 2J9",ishawarma.com,519-954-7900,Waterloo
Sonny's,"256 Weber St N, ON N2J 3H7",sonnysdrivein.com,519-884-1750,Waterloo
Sakura Island Japanese,"255 King St N, ON N2J 4V2",sakuraislandrestaurant.com,519-886-1812,Waterloo
Chic Pea Pita & Grill,"91 University Ave E, ON N2J 2W1",chicpeagrill.ca,519-747-4700,Waterloo
East African Cafe,"50 Ontario St S, ON N2G 1X5",eastafricancafe.com,519-342-0216,Kitchener
Sultans Mediterranean Grill (Waterloo),"253 King St N Unit: FC2, ON N2J 2Y8",business.site,613-854-2596,Waterloo
Ming's Chinese Restaurant,"465 Phillip St, ON N2L 6C7",Add website,519-888-7460,Waterloo
Granny Bonn's Fish & Chips,"90 Weber St N, ON N2J 3G9",Add website,519-885-5650,Waterloo
Fresh Burrito,"170 University Ave W Unit 31, ON N2L 3E9",freshburrito.ca,226-647-6878,Waterloo
State & Main Kitchen & Bar,"578 Weber St N Unit L01, ON N2L 0C7",stateandmain.ca,226-806-0728,Waterloo
Daily Grill Restaurant,"615 Davenport Rd, ON N2V 2G2",dailygrill.ca,519-886-4752,Waterloo
Rustico Kitchen And Bar,"907 Victoria St N, ON N2B 3C3",rusticokitchen.ca,519-576-6737,Kitchener
Montana's,"310 The Boardwalk, ON N2T 0A6",montanas.ca,519-576-1212,Waterloo
Star Wok,"94 Bridgeport Rd E, ON N2J 2J9",starwok.ca,519-886-1688,Waterloo
Pierogi House,"655 Parkside Dr #4, ON N2L 0C7",pierogihouse.ca,519-954-2226,Waterloo
Freshii,"255 King St N, ON N2J 4V2",freshii.com,519-954-5551,Waterloo
Southern Ontario Smoked BBQ,"525 Highland Rd W, ON N2M 5K1",sosbbq.com,519-496-4052,Kitchener
Cheeses Murphy,"46 King St N, ON N2J 2W9",cheesesmurphy.com,519-886-0227,Waterloo
Uncle's Shawarma & Kabab,"425 University Ave E, ON N2K 3J4",unclesshawarmakabab.ca,519-579-0444,Waterloo
Charcoal Steak House,"2980 King St E, ON N2A 1A9",charcoalsteakhouse.ca,519-893-6570,Kitchener
Charcoal Steak House,"2980 King St E, ON N2A 1A9",charcoalsteakhouse.ca,519-893-6570,Kitchener
Del's Italian Kitchen,"2980 King St E, ON N2A 1A9",delsenoteca.ca,519-893-2911,Kitchener
Yurub Restaurant & Lounge,"146 King St W, ON N2G 1A6",yurubrestaurant.com,226-647-1701,Kitchener
Crabby Joe's Bar • Grill,"70 King St E, ON N2G 2K6",crabbyjoes.com,519-570-4500,Kitchener
Vivo Pizza + Pasta,"655 Parkside Dr, ON N2L 5E7",vivopizzapasta.ca,519-781-8486,Waterloo
Vivo Pizza + Pasta,"655 Parkside Dr, ON N2L 5E7",vivopizzapasta.ca,519-781-8486,Waterloo
Harvey's,"410 King St N, ON N2J 2Z3",harveys.ca,519-725-9194,Waterloo
Old King Bistro,"2934 King St E, ON N2A 1A7",oldkingbistro.ca,519-208-5464,Kitchener
Montana's,"740 Ottawa St S, ON N2E 3H5",Add website,519-579-0524,Kitchener
The Bent Elbow,"2880 King St E, ON N2A 1A7",thebentelbow.ca,519-208-0202,Kitchener
Crabby Joe's Bar • Grill,"65 University Ave, ON N2J 2V9",crabbyjoes.com,519-725-9041,Waterloo
Sandy's Kitchen Chinese Cuisine,"105 Oak Park Dr Unit 6, ON N2K 0B3",facebook.com,519-884-8929,Waterloo
Swiss Chalet,"267 Weber St N, ON N2J 3H8",Add website,519-884-9410,Waterloo
Algarve Restaurant,"248 Stirling Ave S, ON N2G 4L1",facebook.com,519-741-5030,Kitchener
Sowon Korea Dining,"170 University Ave W, ON N2L 3E9",Add website,519-208-5678,Waterloo
Fat Bastard Burrito Co.,"255 King St N, ON N2J 4V2",fatbastardburrito.ca,519-208-5222,Waterloo
Sunset Grill,"584 Weber St N, ON N2V 1K4",sunsetgrill.ca,519-746-4444,Waterloo
Sunset Grill,"584 Weber St N, ON N2V 1K4",sunsetgrill.ca,519-746-4444,Waterloo
Grill House,"1-825 Weber St E, ON N2H 1H5",facebook.com,519-744-7455,Kitchener
Grill House,"1-825 Weber St E, ON N2H 1H5",facebook.com,519-744-7455,Kitchener
Wok Wagon Express,"450 Columbia St W, ON N2T 2W1",wokwagon.com,519-888-9818,Waterloo
The Chopped Leaf,"36 Northfield Dr E #10, ON N2V 2G2",choppedleaf.ca,519-772-0296,Waterloo
Yummy Chongqing,"160 University Ave W, ON N2L 3E9",Add website,519-888-6600,Waterloo
小锅兒 Lil' Pot,"G1 - 220 King St N N2J 3Y7, ON N2J 2Y7",lilpot.ca,519-954-8666,Waterloo
Tim Hortons,"200 University Ave W Suite 111, ON N2L 3G1",locations.timhortons.com,519-885-1211,Waterloo
Starbucks,"200 University Ave W University of Waterloo - STC, ON N2L 3G1",starbucks.ca,519-888-4567,Waterloo
CoTW - Coffee Of The World,"573 King St N, ON N2L 5Z7",Add website,519-884-6969,Waterloo
barBURRITO,"205 The Boardwalk, ON N2N 0B1",barburrito.ca,519-571-7070,Kitchener
Campus Pizza,"160 University Ave W #2, ON N2L 3E9",campuspizza.ca,519-747-9888,Waterloo
Campus Pizza,"160 University Ave W #2, ON N2L 3E9",campuspizza.ca,519-747-9888,Waterloo
Jack Astor's Bar & Grill Kitchener,"2960 Kingsway Dr #15A, ON N2C 1X1",jackastors.com,519-748-1604,Kitchener
Jack Astor's Bar & Grill Kitchener,"2960 Kingsway Dr #15A, ON N2C 1X1",jackastors.com,519-748-1604,Kitchener
Asakusa,"150 University Ave W, ON N2L 6J3",asakusaramen.ca,519-580-6666,Waterloo
Swiss Chalet,"267 Weber St N, ON N2J 3H8",Add website,519-884-9410,Waterloo
The Chopped Leaf,"The Boardwalk #8, ON N2J 3Z4",choppedleaf.ca,519-745-1134,Kitchener
Moose Winooski's,"20 Heldmann Rd, ON N2P 2J1",moosewinooskis.com,519-653-9660,Kitchener
A&W Canada,"550 King St N, ON N2L 5W6",aw.ca,519-747-9394,Waterloo
Fratello Pizza,"84 King St N, ON N2J 2X4",fratello-pizza.com,519-886-7278,Waterloo
Fratello Pizza,"84 King St N, ON N2J 2X4",fratello-pizza.com,519-886-7278,Waterloo
State & Main Kitchen & Bar,"589 Fairway Rd S, ON N2C 1X4",stateandmain.ca,519-954-6200,Kitchener
Maestro's Pizza,"370 Eastbridge Blvd, ON N2K 3Z1",maestrospizzawaterloo.com,519-888-6662,Waterloo
Kam Yin Chinese Restaurant,"450 Erb St W Unit 13, ON N2T 1Y7",kamyinrestaurant.com,519-746-1903,Waterloo
Five Star Shawarma & Pizza,"585 Weber St N Unit 4, ON N2V 1V8",fivestarps.square.site,519-880-0544,Waterloo
Freshii,"584 Weber St N #4, ON N2V 1K4",freshii.com,226-646-0610,Waterloo
Symposium Cafe Restaurant & Lounge,"668 Erb St W, ON N2T 2K8",symposiumcafe.com,519-749-4616,Waterloo
Boston Pizza,"597 King St N, ON N2V 2N3",bostonpizza.com,519-208-2500,Waterloo
Osmow’s Shawarma,"628 King St N, ON N2V 1B4",mrosmow.com,519-885-7669,Waterloo
Harvey's,"75 University Ave W, ON N2L 3C5",harveys.ca,519-884-0710,Waterloo
Vandijk's Fish and Chips,"878 Weber St N, ON N2J 4G8",Add website,519-570-9132,Waterloo
Edelweiss Tavern,"600 Doon Village Rd, ON N2P 1G6",edelweisstavern.ca,519-748-0221,Kitchener
Edelweiss Tavern,"600 Doon Village Rd, ON N2P 1G6",edelweisstavern.ca,519-748-0221,Kitchener
Arabella Park Beer Bar,"740 Belmont Ave W, ON N2M 1P2",arabellaparkbar.com,226-220-6374,Kitchener
The Grand Mehfil,"1400 Weber St E, ON N2A 3Z8",thegrandmehfil.com,519-748-9999,Kitchener
Delta Hotels by Marriott Waterloo,"110 Erb St W, ON N2L 0C6",marriott.com,519-514-0404,Waterloo
Goen Japanese Restaurant,"55 Northfield Dr E, ON N2K 3T6",squarespace.com,519-888-9006,Waterloo
Harvey's,"1157 Victoria St N, ON N2B 3C8",harveys.ca,519-584-2880,Kitchener
Piper Arms Pub Kitchener,"4391 King St E, ON N2P 2G1",piperarmspub.com,519-219-5100,Kitchener
Harvey's,"1157 Victoria St N, ON N2B 3C8",harveys.ca,519-584-2880,Kitchener
Oscar's Family Diner & Grill,"835 Victoria St N, ON N2B 3C3",oscarsfamilyrestaurant.ca,519-576-4312,Kitchener
Charcoal Group,"1191 Weber St E, ON N2A 1C1",charcoalgroup.ca,519-894-0110,Kitchener
Charcoal Group,"1191 Weber St E, ON N2A 1C1",charcoalgroup.ca,519-894-0110,Kitchener
Wild Wing,"715 Fischer-Hallman Rd #103, ON N2E 4E9",wildwingrestaurants.com,519-742-9464,Kitchener
Vincenzo's,"150 Caroline St S, ON N2L 0A5",vincenzosonline.com,519-741-1437,Waterloo
Vincenzo's,"150 Caroline St S, ON N2L 0A5",vincenzosonline.com,519-741-1437,Waterloo
Hem's Hakka Restaurant,"4195 King St E, ON N2P 0C1",hemshakka.ca,519-650-0666,Kitchener
Morty's Pub & Patio,"272 King St N, ON N2J 2Y9",mortys.com,519-886-0440,Waterloo
Osmow's Shawarma,"655 Fairway Rd S Unit B7, ON N2C 1X4",mrosmow.com,519-896-0111,Kitchener
City Pizza,"1400 Weber St E, ON N2A 3Z8",thecitypizza.ca,519-895-2828,Kitchener
Mi Tienda Latina,"103 Ontario St S, ON N2G 1X5",m.facebook.com,519-576-0809,Kitchener
Ms Salty cake boutique,"150 University Ave W, ON N2L 6J3",mssalty.com,dd place's phone number,Waterloo
Pilaf Restaurant,"280 Lester St Unit 116, ON N2L 3W5",pilafrestaurant.ca,519-208-2172,Waterloo
Chuck's Roadhouse Bar & Grill,"651 Erb St W, ON N2J 3Z4",chucksroadhouse.com,519-746-3505,Waterloo
Yo Sushi,"103 King St W Floor 1, ON N2G 1A7",selflane.com,519-568-7566,Kitchener
Harvey's,"235 Ira Needles Blvd Unit 1, ON N2N 2K7",harveys.ca,519-568-8008,Kitchener
Beertown Public House Cambridge,"561 Hespeler Rd #1A, ON N1R 6J4",beertown.ca,519-629-0288,Cambridge
Ye's Sushi,"70 Sportsworld Dr, ON N2P 2J1",yes-restaurants.com,519-653-3888,Kitchener
Grain of Salt,"561 Hespeler Rd, ON N1R 6J4",welcometograinofsalt.com,519-267-2850,Cambridge
Burger King,"30 Northfield Dr E, ON N2L 6A1",burgerking.ca,519-885-5677,Waterloo
Nara Sushi,"685 Fischer-Hallman Rd, ON N2E 4E9",sushi-nara.ca,519-279-4530,Kitchener
Mr. Yin Chinese Restaurant,"150 University Ave W, ON N2L 3E4",mryinwaterloo.com,519-208-8288,Waterloo
遇见 · 美食 新派网红餐厅 Mizu Restaurant,"150 University Ave W #8B, ON N2L 6J3",mizurestaurantwaterloo.com,519-208-8111,Waterloo
Puddicombe House,"145 Peel St, ON N3A 1E7",puddicombehouse.com,519-662-2111,New Hamburg
ish & chips,",",ishandchips.com,519-722-3650,
City Cafe Bakery - West Ave.,"175 West Ave, ON",citycafebakery.ca,dd place's phone number,Kitchener
Miijidaa Café + Bistro,"37 Quebec St, ON N1H 2T1",miijidaa.ca,519-821-9271 ext. 2,Guelph
Anna Mae's Bakery & Restaurant,"4060 Perth County Line 72, ON N0K 1L0",annamaes.ca,519-595-4407,Millbank
The Bauer Bakery & Café,"187 King St S #102, ON N2J 1R1",bauerbakery.ca,519-772-0794,Waterloo
Symposium Cafe Restaurant & Lounge,"304 Stone Rd W, ON N1G 3C4",symposiumcafe.com,519-824-4138,Guelph
Borealis Grille & Bar (Guelph),"1388 Gordon St, ON N1L 1C9",borealisgrille.ca,519-265-9007,Guelph
Delta Hotels by Marriott Waterloo,"110 Erb St W, ON N2L 0C6",marriott.com,519-514-0404,Waterloo
KFC,"875 Highland Rd W, ON N2N 2Y2",Add website,519-576-8013,Kitchener
KFC,"875 Highland Rd W, ON N2N 2Y2",Add website,519-576-8013,Kitchener
Rumbletum Cafe & Gifts,"1895 Sawmill Rd, ON N0B 1N0",rumbletum.ca,519-664-1820,Conestogo
The Hemlock Barn,"1217 Lobsinger Line, ON N2J 4G8",thehemlockbarn.ca,dd place's phone number,Waterloo
Shoeless Joe's Sports Grill,"5 Clair Rd W #5, ON N1L 0A6",shoelessjoes.ca,519-827-1212,Guelph
Montana's,"201 Stone Rd W, ON N1G 5L4",montanas.ca,519-766-1549,Guelph
Burger King,"809 Victoria St N, ON N2B 3C3",burgerking.ca,519-578-1391,Kitchener
Fionn MacCool's,"494 Edinburgh Rd S, ON N1G 4Z1",Add website,519-766-4242,Guelph
Red Lobster,"67 King George Rd, ON N3R 5K2",redlobster.ca,519-759-7121,Brantford
Naija Jollof Waterloo,"280 Lester St, ON N2L 3W5",Add website,519-885-1517,Waterloo
Molly Bloom's Irish Pub,"170 University Ave W, ON N2L 3E9",mollyblooms.ca,519-885-0892,Waterloo
Princess Cafe,"46 King St N, ON N2J 2W8",princesscafe.ca,519-886-0227,Waterloo
Taco Farm,"8 Erb St W, ON N2L 1S7",tacofarm.ca,519-208-1300,Waterloo
Korner Kitchen Breakfast and Lunch Eatery,"183 Weber St N, ON N2J 3H3",kornerkitchen.ca,519-578-8555,Waterloo
21 Fir Whiskey Bar + Kitchen,"100 King St S, ON N2J 1P5",21fir.com,519-208-1347,Waterloo
Exotica Fusion kitchen & Cafe,"130 Columbia St W #813, ON N2L 0G6",exoticacafe.ca,226-476-1779,Waterloo
Thai Sun,"75 King St S Unit 61-62, ON N2V 1P2",thaisun.ca,519-747-9006,Waterloo
